
Conexiones activas

  Proto  Direccion local          Direccion remota        Estado           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1648
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10952
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       22496
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1888
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1788
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2788
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       4200
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       5728
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       1860
  TCP    0.0.0.0:50131          0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:2999         0.0.0.0:0              LISTENING       3520
  TCP    127.0.0.1:5432         0.0.0.0:0              LISTENING       22428
  TCP    127.0.0.1:9080         0.0.0.0:0              LISTENING       6512
  TCP    127.0.0.1:35623        0.0.0.0:0              LISTENING       22428
  TCP    127.0.0.1:49350        0.0.0.0:0              LISTENING       15724
  TCP    127.0.0.1:49351        0.0.0.0:0              LISTENING       26852
  TCP    127.0.0.1:49683        127.0.0.1:49684        ESTABLISHED     1948
  TCP    127.0.0.1:49684        127.0.0.1:49683        ESTABLISHED     1948
  TCP    127.0.0.1:49687        127.0.0.1:49688        ESTABLISHED     2124
  TCP    127.0.0.1:49688        127.0.0.1:49687        ESTABLISHED     2124
  TCP    127.0.0.1:49689        127.0.0.1:49690        ESTABLISHED     4116
  TCP    127.0.0.1:49690        127.0.0.1:49689        ESTABLISHED     4116
  TCP    127.0.0.1:49715        127.0.0.1:49716        ESTABLISHED     6464
  TCP    127.0.0.1:49716        127.0.0.1:49715        ESTABLISHED     6464
  TCP    127.0.0.1:54992        0.0.0.0:0              LISTENING       20508
  TCP    127.0.0.1:54992        127.0.0.1:56020        ESTABLISHED     20508
  TCP    127.0.0.1:54992        127.0.0.1:56029        ESTABLISHED     20508
  TCP    127.0.0.1:55712        0.0.0.0:0              LISTENING       10304
  TCP    127.0.0.1:55712        127.0.0.1:55801        ESTABLISHED     10304
  TCP    127.0.0.1:55712        127.0.0.1:57379        ESTABLISHED     10304
  TCP    127.0.0.1:55799        0.0.0.0:0              LISTENING       8496
  TCP    127.0.0.1:55799        127.0.0.1:55859        ESTABLISHED     8496
  TCP    127.0.0.1:55799        127.0.0.1:55872        ESTABLISHED     8496
  TCP    127.0.0.1:55799        127.0.0.1:56909        ESTABLISHED     8496
  TCP    127.0.0.1:55799        127.0.0.1:57330        ESTABLISHED     8496
  TCP    127.0.0.1:55799        127.0.0.1:57332        ESTABLISHED     8496
  TCP    127.0.0.1:55799        127.0.0.1:57333        ESTABLISHED     8496
  TCP    127.0.0.1:55801        127.0.0.1:55712        ESTABLISHED     8496
  TCP    127.0.0.1:55859        127.0.0.1:55799        ESTABLISHED     21896
  TCP    127.0.0.1:55872        127.0.0.1:55799        ESTABLISHED     14920
  TCP    127.0.0.1:55885        127.0.0.1:65001        ESTABLISHED     6504
  TCP    127.0.0.1:56020        127.0.0.1:54992        ESTABLISHED     22884
  TCP    127.0.0.1:56029        127.0.0.1:54992        ESTABLISHED     22884
  TCP    127.0.0.1:56909        127.0.0.1:55799        ESTABLISHED     14920
  TCP    127.0.0.1:56951        0.0.0.0:0              LISTENING       8880
  TCP    127.0.0.1:57291        127.0.0.1:55712        TIME_WAIT       0
  TCP    127.0.0.1:57330        127.0.0.1:55799        ESTABLISHED     3520
  TCP    127.0.0.1:57332        127.0.0.1:55799        ESTABLISHED     3520
  TCP    127.0.0.1:57333        127.0.0.1:55799        ESTABLISHED     3520
  TCP    127.0.0.1:57365        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57367        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57368        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57369        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57374        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57375        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57379        127.0.0.1:55712        ESTABLISHED     8496
  TCP    127.0.0.1:57389        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57390        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57391        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57392        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:57394        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       6504
  TCP    127.0.0.1:65001        127.0.0.1:55885        ESTABLISHED     6504
  TCP    172.23.128.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.18.104:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.18.104:55704   104.18.41.183:443      ESTABLISHED     10304
  TCP    192.168.18.104:55768   172.65.250.49:5223     ESTABLISHED     10304
  TCP    192.168.18.104:55870   34.217.181.116:2099    ESTABLISHED     8496
  TCP    192.168.18.104:56015   52.97.51.146:443       ESTABLISHED     14624
  TCP    192.168.18.104:56151   104.208.203.89:443     ESTABLISHED     6416
  TCP    192.168.18.104:56198   34.237.73.95:443       ESTABLISHED     26496
  TCP    192.168.18.104:56637   104.18.40.25:443       ESTABLISHED     8496
  TCP    192.168.18.104:56809   142.251.0.188:5228     ESTABLISHED     26496
  TCP    192.168.18.104:56949   172.64.147.231:443     ESTABLISHED     10304
  TCP    192.168.18.104:57133   140.82.113.25:443      ESTABLISHED     26496
  TCP    192.168.18.104:57253   20.42.65.85:443        ESTABLISHED     22884
  TCP    192.168.18.104:57306   172.64.146.73:443      TIME_WAIT       0
  TCP    192.168.18.104:57340   172.64.146.73:443      TIME_WAIT       0
  TCP    192.168.18.104:57356   104.17.174.5:443       TIME_WAIT       0
  TCP    192.168.18.104:57363   172.64.155.209:443     ESTABLISHED     26496
  TCP    192.168.18.104:57364   104.18.27.90:443       ESTABLISHED     26496
  TCP    192.168.18.104:57370   4.160.58.170:443       ESTABLISHED     6620
  TCP    192.168.18.104:57371   190.98.160.74:443      ESTABLISHED     22264
  TCP    192.168.18.104:57372   52.123.128.14:443      TIME_WAIT       0
